kyA: kyA/__p
PAvadA: None
PAvadI: None
pAva: rAw/a__n
pAvaka: None
pAvakamaNi: None
pavamAna: None
pavanacakkI: None
pavanacakra: None
pavanAhawa: None
pAvana: wIn/a__adj
pavana: rAw/a__n
pavanakumAra: None
pavananaMxana: None
pavanapawi: None
pavanapUwa: None
pavanapuwra: None
pavanasaMGAwa: None
pavanAswra: None
pavanavyAXi: None
pavanAwmaja: None
pAvarahAusa: None
pAvara: rAw/a__n
pavarga: None
pAvarotI: None
pAvasa: None
pAvawI: ladak/I__n
pAvawIpawra: None
paviwra: rAw/a__n
paviwrawA: kAl/A__n
paviwrAwmA: None
paviwrI: None
paviwrIkaraNa: None
paviwriwa: None
PavvArA: kAl/A__n
Pawaha: rAw/a__n
pAWa: None
paWa: rAw/a__n
pAwa: Karc/a__n
pawA: kAl/A__adj
pawaJada: None
pawAkA: None
pAwaka: None
pawAkAsWAnaka: None
pawAkAxaMda: None
pawAkI: None
pAwakI: None
pAwAlagaMgA: None
pAwAla: None
pawalA: kAl/A__adj
pawalApana: None
pAwAlawoda: None
pawalUna: None
pawaMgabAja: None
pawaMgabAjI: None
pawaMgA: None
pawaMga: rAw/a__n
pAwaMjala: None
pawana: rAw/a__n
pAwana: None
pAwanIya: None
pawanonmuKa: None
paWarA: W/A__v
pAwara: None
paWarAva: rAw/a__n
paWarI: ladak/I__n
paWarIlA: None
paWarOtI: None
PawavA: bAlikA/__adj
pawavAra: None
pawiBakwi: None
pawi: Apawwi/__n
paWika: rAw/a__n
pawikAmA: None
pawIlA: None
pawIlI: None
PawiMgA: None
pawivrawA: None
pAwivrawa: None
pAwivrawya: None
pawiwa: rAw/a__n
pawiwapAvana: None
pAwiwya: None
pawiXarma: None
pawixevawA: None
pawnI: ladak/I__n
pawohU: None
pawrAcAra: None
pawra: rAw/a__n
pAwra: rAw/a__n
pawraka: None
pawrakAra: rAw/a__n
pawrakArI: None
pawrakAriwA: kAl/A__n
pawrAlApa: None
pawrAlaya: None
pawrapetikA: None
pawrAvalI: None
pAwrawA: kAl/A__n
pAwrawva: None
pawrikA: pIdZ/A__n
pawrowwara: None
pawwA: kAl/A__adj
pawwala: None
pawwana: rAw/a__n
pawWara: rAw/a__n
pawwI: ladak/I__n
pawwIxAra: None
paWya: None
pAwya: None
paWyApaWya: None
pAxaBAga: None
paxaBAra: rAw/a__n
paxacihna: rAw/a__n
paxacyuwa: None
paxAGAwa: None
pAxAGAwa: None
pAxagrahaNa: None
pAxa: None
paxa: rAw/a__n
paxaka: rAw/a__n
paxAkrAMwa: None
pAxAMbu: None
pAxAMguli: None
pAxAMguRTa: None
pAxamuxrA: None
paxAMwa: None
paxAMwara: None
paxanAma: rAw/a__n
paxAnurAga: None
paxAnuSAsana: None
pAxapa: rAw/a__n
pAxaprahAra: None
pAxapUrwi: None
paXarA: None
paXAra: uT/a__v
pAxaraRaNa: None
paXarAvanI: None
paxAraviMxa: None
pAxAraviMxa: None
pAxarI: ladak/I__n
paxArpaNa: None
paxArWa: rAw/a__n
paxArWavijFAna: None
paxArWavixyA: None
pAxaSAhI: None
paxASciwa: None
paxAsIna: None
paxAvalI: None
paxAvanawa: None
paxAvanawi: None
pAxAvasecana: None
paxAvaXi: SAnwi/__n
paxavI: ladak/I__n
paxavyAKyA: None
pAxawala: None
pAxawrANa: None
paxawyAga: rAw/a__n
paxAXikarI: None
paxmabIja: None
paxmaBU: None
paxmA: None
paxma: rAw/a__n
paxmaKaMda: None
paxmakaMxa: None
paxmakarA: None
paxmakara: None
paxmAkara: None
paxmakARTa: None
paxmakewu: None
paxmakIta: None
paxmakoSa: None
paxmapurANa: rAw/a__n
paxmarAga: None
paxmAsana: rAw/a__n
paxmaSrI: ladak/I__n
paxmAvawI: None
paxmaveSa: None
paxminI: ladak/I__n
paxmoxBava: None
paxonnawi: SAnwi/__n
pAxoxaka: None
pAxukA: None
paxXawi: Apawwi/__n
paxya: None
paya: None
pAyA: kAl/A__adj
pAyala: None
PAyara: rAw/a__n
pAyasa: None
payasvinI: None
PAyaxA: kAl/A__adj
pAyaxAna: rAw/a__n
pAyaxArI: None
PAyaxemaMxa: wIn/a__adj
pAzcaBOwika: None
pazca: None
pAzca: rAw/a__n
pAzcavA: kAl/A__adj
PAzka: None
PazsA: None
pAzsA: None
Pazsa: None
PAzsa: uT/a__v
pazsarahattA: None
PAzsI: None
pAzva: rAw/a__n
PAzxa: None
pEbaMxa: None
peca: rAw/a__n
pecakasa: None
peciSa: None
pecIxagI: ladak/I__n
pecIxA: None
peda: None
pEda: rAw/a__n
pedA: None
pEdala: None
pEdI: None
pega: None
pEgAma: None
pEgaMbara: rAw/a__n
pEgAmI: None
pEka: rAw/a__n
pEketa: rAw/a__n
pEkiMga: None
PEktarI: ladak/I__n
Pela: wIn/a__adj
PElA: KA/__v
pela: None
PEla: uT/a__v
pelavA: None
PElAva: rAw/a__n
pEmAiSa: rAw/a__n
pEmAnA: kAl/A__adj
peMca: None
peMdulama: rAw/a__n
peMga: rAw/a__n
PeMka: uT/a__v
peMSanaBogI: None
peMSana: rAw/a__n
pEMsaTa: rAw/a__n
peMsila: rAw/a__n
peMta: rAw/a__n
pEMta: rAw/a__n
PeMta: uT/a__v
peMtara: None
pEMwAlIsa: rAw/a__n
pEMwisa: rAw/a__n
peMxA: kAl/A__adj
pena: rAw/a__n
Pena: None
pEna: rAw/a__n
pEnA: kAl/A__adj
pensana: None
pensila: None
PePadA: None
pepara: rAw/a__n
peparamila: None
peparaveta: None
pEragAdI: None
pErAgrAPa: rAw/a__n
pEra: rAw/a__n
pErA: bAlikA/__adj
PerA: None
pera: None
Pera: uT/a__v
PeraPAra: None
pErASUta: rAw/a__n
pEravI: ladak/I__n
PerI: None
PerIvAlA: None
peSAba: rAw/a__n
peSAbaKAnA: None
pESAca: None
pESAcI: None
pESAcika: None
peSagI: None
peSa: Karc/a__n
pEsA: kAl/A__adj
peSA: kAl/A__n
peSakAra: None
peSakArI: None
peSakaSa: rAw/a__n
PEsalA: kAl/A__adj
PEsana: None
PESana: rAw/a__n
peSavA: None
peSAvara: rAw/a__n
pEseMjaragAdI: None
pEseMjara: rAw/a__n
pEsevAlA: None
peSI: ladak/I__n
pETA: None
peta: rAw/a__n
peTA: None
petapUjA: None
peteMta: rAw/a__n
petI: None
petIkota: None
petrola: rAw/a__n
petroliyama: rAw/a__n
petU: bah/U__n
pEvaMxI: None
pEwAmaha: None
pEwarA: None
pEwqka: wIn/a__adj
pExA: bAlikA/__adj
pExAiSa: rAw/a__n
pExAiSI: None
pExala: rAw/a__n
pExAvAra: rAw/a__n
peya: rAw/a__n
pezga: None
PeztA: None
pEzwAlIsa: None
pEzwIsa: None
pezxA: None
pezxI: None
piCada: None
piCadApana: None
piCAdI: None
pICA: kAl/A__n
picakA: KA/__v
picaka: None
picakArI: None
piCalagA: None
piCalaggU: None
piCalagI: None
piCalA: kAl/A__adj
picCala: None
picCila: None
pIdA: pIdZ/A__n
pIDA: None
pIdana: None
pIdanIya: None
pIDI: None
pIdiwa: rAw/a__n
piGalA: W/A__v
piGala: uT/a__v
pIhara: None
pihiwa: None
PI: ajAwI/__adj
pI: p/I__v
pIka: rAw/a__n
pika: None
PIkA: kAl/A__adj
pikanika: rAw/a__n
pIkaxAna: rAw/a__n
Pikra: rAw/a__n
PikramaMxa: None
PilahAla: rAw/a__n
pilA: KA/__v
pIla: Karc/a__n
pIlA: kAl/A__adj
pila: uT/a__v
pIlApana: None
pIlapAzva: None
pilapilA: None
PilAsaPI: None
pilavA: None
pIlavAna: None
pIlI: ladak/I__n
pIliyA: kAl/A__n
pillA: None
Pilma: rAw/a__n
PilmakAra: rAw/a__n
PilmI: ajAwI/__adj
Piltara: None
piMda: rAw/a__n
piMdalI: ladak/I__n
piMdaxAna: rAw/a__n
piMgAkRa: None
piMgala: None
piMgalA: None
piMjarA: bAlikA/__adj
pIna: None
pina: rAw/a__n
pinjarA: None
pinAka: None
pinAkI: None
pIpa: None
pIpA: kAl/A__adj
pIpala: rAw/a__n
pipAsA: None
pipAsiwa: None
pipatArA: None
pipIlikA: None
PirA: None
pIra: rAw/a__n
Pira: uT/a__v
PirakA: kAl/A__adj
PirakI: ladak/I__n
PiraMgI: None
piro: h/o__v
PirOwI: ladak/I__n
piRta: None
piSAca: rAw/a__n
PisaddI: ajAwI/__adj
pisAI: None
pisA: W/A__v
PIsa: rAw/a__n
pisa: uT/a__v
pIsa: uT/a__v
PisalAhata: None
PisalA: None
Pisala: uT/a__v
Pisalana: Karc/a__n
PisalanavAlA: None
PisalanevAlA: None
pisOnI: None
pissU: None
piSuna: None
piSunawA: None
piswA: bAlikA/__adj
piswOla: rAw/a__n
pitAI: ladak/I__n
Pita: rAw/a__n
pITa: rAw/a__n
pita: uT/a__v
pIta: uT/a__v
PitakarI: None
PitakirI: None
pitArA: bAlikA/__adj
pITAsIna: wIn/a__adj
pitavA: None
pITI: ladak/I__n
pITikA: kAl/A__n
PitiMga: None
pitTU: None
pIvara: None
pIwABa: None
pIwacaMxana: None
pIwagaMXa: None
pIwa: wIn/a__adj
piwA: kAl/A__n
PIwA: None
piwAjI: ladak/I__n
pIwala: rAw/a__n
piwAmaha: rAw/a__n
piwAmahI: ladak/I__n
pIwAMbara: rAw/a__n
pIwapuRpa: None
pIwapuRpI: None
piwara: rAw/a__n
Piwarawa: None
piwqBakwa: None
piwqBakwi: None
piwqgAmI: None
piwqgAWA: None
piwqGAwa: None
piwqgqha: None
piwq: None
piwqkalpa: None
piwqkarma: None
piwqkriyA: None
piwqkula: None
piwqloka: None
piwqSrAxXa: None
piwqvaMSa: None
piwqvisarjana: None
piwqwarpaNa: None
piwqwIrWa: None
piwqwiWi: None
piwqxeva: None
piwqxEvawa: None
piwqyajFa: None
piwwa: None
piwwakRoBa: None
piwwaprakopa: None
piwwASaya: None
piwwavixagXa: None
PixA: None
piyakkada: None
pIyURa: None
pizdalI: None
plAna: rAw/a__n
plAstara: rAw/a__n
plAstika: rAw/a__n
plaswara: None
plAta: rAw/a__n
plAvana: None
plAvanika: None
plAviwa: None
plega: rAw/a__n
PlEta: rAw/a__n
pleta: rAw/a__n
plEtaPArma: None
plIhA: None
PlU: bah/U__n
pluwa: None
pOA: None
poca: None
pODA: None
PodA: None
pODa: None
Poda: None
pO: None
po: redio/__n
POja: rAw/a__n
POjaxAra: None
POjaxArI: None
POjIaPasara: None
POjI: ladak/I__n
poKarA: bAlikA/__adj
poKarI: None
Pokata: None
POkata: None
pola: rAw/a__n
polA: kAl/A__adj
POlAxa: None
POlAxI: None
politikala: None
poMCa: uT/a__v
pOMda: rAw/a__n
pOMdarIka: None
pOnaHpunya: None
Pona: rAw/a__n
pOnA: kAl/A__adj
pOnarBava: None
pOnarnava: None
popa: rAw/a__n
pora: None
poRaka: wIn/a__adj
PoramEna: None
poRaNa: rAw/a__n
pOrANika: wIn/a__adj
poRikA: None
poRiwa: wIn/a__adj
poRiwA: None
pORkalya: None
pORkara: None
pORkariNI: None
pOrNamAsa: None
pOrNamAsI: None
pOrNamAsika: None
pOrNamAsya: None
pOrohiwya: None
pORtika: None
pOruRa: None
pOruReya: None
pOruRya: None
pOrvAparya: None
poRya: None
poRyapuwra: None
poRyasuwa: None
poRyavarga: None
posa: None
poSAka: None
postaAPisa: None
postabAksa: None
postabEga: None
posta: rAw/a__n
postakArda: rAw/a__n
postalaArdara: None
postalagAida: None
postala: None
postamArka: None
postamArtama: wIn/a__adj
postamAstara: None
postamEna: None
postara: rAw/a__n
pota: None
potalI: None
potASa: rAw/a__n
PotogrAPa: rAw/a__n
PotogrAPara: rAw/a__n
PotogrAPI: ladak/I__n
Poto: redio/__n
POvArA: None
powaBaMga: None
powadA: None
powaGAta: None
powA: kAl/A__adj
poWA: None
powa: uT/a__v
powavAha: None
powavaNik: None
powaXArI: None
powaXvaja: None
powI: ladak/I__n
poWI: None
pOwra: wIn/a__adj
pOwrI: ladak/I__n
pOwrika: None
pOXaGara: None
pOxa: None
pOXa: Karc/a__n
pOXA: kAl/A__adj
poxInA: None
pozCa: None
pqkwa: None
pqRawa: None
pqRoxara: None
pqRTaBAga: rAw/a__n
pqRTaBUmi: SAnwi/__n
pqRTagAmI: None
pqRTagopa: None
pqRta: None
pqRTa: rAw/a__n
pqRTamAMsa: None
pqRTAMkana: rAw/a__n
pqRTAMkiwa: None
pqRTaxeSa: None
pqRTaxqRti: None
pqWagAwmawA: None
pqWagBAva: None
pqWagrUpa: None
pqWakawA: None
pqWak: None
pqWakkaraNa: rAw/a__n
pqWakkRewra: None
pqWakwva: None
pqWivI: None
pqWivIkaMpa: None
pqWivIwala: None
pqWvI: ladak/I__n
praBAga: rAw/a__n
praBA: kAl/A__n
praBAkara: rAw/a__n
prabala: wIn/a__adj
prabAla: None
prAbalya: None
praBAmaMdala: None
praBaMjana: None
prabaMXa: rAw/a__n
prabaMXaka: rAw/a__n
prabaMXakarwA: None
prabaMXakIya: None
prabaMXana: rAw/a__n
prabaMXasaMcAlaka: None
prabaMXasamiwi: None
prabaMXasaMpAxaka: None
praBAra: rAw/a__n
praBArI: ajAwI/__adj
praBava: None
praBAva: rAw/a__n
praBAvaka: None
praBAvAn: None
praBAvaSAlI: ladak/I__n
praBAvaSIla: None
praBAvavAn: None
praBAvI: ajAwI/__adj
praBAviwa: rAw/a__n
praBAwa: rAw/a__n
praBAwaPerI: None
praBAwasamaya: None
praBAwI: None
prabAXana: None
prabAXiwa: None
praBexa: None
praBinna: None
praboXa: None
praboXaka: None
praboXana: None
praboXinI: None
praboXiwa: None
praBqwi: None
praBuBakwa: None
praBu: vAyu/__n
praBuSakwi: None
praBusawwA: None
praBUwa: None
praBuwA: kAl/A__n
praBuwva: rAw/a__n
prabuxXa: wIn/a__adj
pracalana: rAw/a__n
pracAlana: None
pracAliwa: None
pracaliwa: rAw/a__n
pracaMda: rAw/a__n
pracAra: rAw/a__n
pracAraka: rAw/a__n
pracArakArya: None
pracaraNa: None
pracariwa: None
pracAriwa: wIn/a__adj
prAcArya: rAw/a__n
pracAyaka: None
pracAyikA: None
pracCanna: None
pracCaxa: None
pracCAxaka: None
pracCAxana: None
pracCAxiwa: None
pracewA: None
prAcI: None
prAcImUla: None
prAcInagAWA: None
prAcIna: rAw/a__n
prAcInamawa: None
prAcInawA: kAl/A__n
prAcIra: rAw/a__n
pracoxaka: None
pracoxana: None
pracoxiwa: None
pracura: wIn/a__adj
pracurawA: kAl/A__n
prAcurya: None
prAcyaBARA: None
prAcya: None
prAcyavix: None
prAcyavixyA: None
prAcyavqwwi: None
pragADa: None
pragalBa: None
pragalBA: None
pragalBawA: None
pragalBiwa: None
prAgalBya: None
pragata: rAw/a__n
pragawi: SAnwi/__n
pragawiSIla: wIn/a__adj
praGoRa: None
pragqhIwa: None
pragqhya: None
pragraha: None
praguNiwa: None
prahara: None
prahAra: rAw/a__n
prahAraka: None
praharaNa: None
praharaNIya: None
praharI: None
praharRa: None
praharRaNa: None
praharRiwa: None
praharwA: None
prahAsa: None
prahAsaka: None
prahasana: None
prahAsI: None
prahlAxa: None
prahlAxaka: None
prahlAxana: None
prahlAxI: None
prahlAxiwa: None
prahmopaxeSa: None
prahqRta: None
prahqwa: None
prAimarI: ladak/I__n
prAimarIskUla: None
pra: None
prAiveta: wIn/a__adj
prAivetasekretarI: None
prajAgara: None
prajAgarUka: None
prajAhiwa: None
prajA: None
prajAkAma: None
prajalpana: None
prajalpiwa: None
prajana: None
prajanana: rAw/a__n
prajanayiwA: None
prajApAlaka: None
prajApAlana: None
prajApawi: None
prAjApawya: None
prajAwa: None
prajAwA: kAl/A__n
prajAwaMwra: rAw/a__n
prajAwaMwu: None
prajAwi: Apawwi/__n
prajAXyakRa: None
prajFAcakRu: None
prajFAhIna: None
prajFa: None
prAjFa: None
prajFA: kAl/A__n
prajFAna: None
prajFApana: None
prajFapwi: None
prajFAsahAya: None
prajFAvAn: None
prajFAvAxa: None
prajFAvqxXa: None
prajFAwa: None
prajFawA: None
prAjFI: None
prajFI: None
prajvAlana: None
prajvaliwa: None
PrAka: None
prakalpanA: None
prakalpiwa: wIn/a__adj
prakAMda: None
praKaMda: rAw/a__n
prakaMpa: None
prakaMpana: None
prakaMpI: None
prakaMpiwa: None
praKara: wIn/a__adj
prAkAra: None
prakAra: rAw/a__n
prakaraNa: rAw/a__n
prAkaraNika: None
praKarawA: None
prakarRa: None
prakarRaka: None
prakarRaNa: None
prakarRiwa: None
prakASa: rAw/a__n
prakASaka: rAw/a__n
prakASakarwA: None
prakASakIya: None
prakASamAna: None
prakASana: rAw/a__n
prakASanAXikAra: None
prakASanoxGAtana: None
prakASaparAvarwaka: None
prakASaprakRepaka: None
prakASasaMyoga: None
prakASaswaMBa: None
prakASavarRa: rAw/a__n
prakASaviyoga: None
prakASAwmA: None
prakASAwmaka: None
prakASikI: None
prakASiwa: wIn/a__adj
prakASya: None
prakata: rAw/a__n
prakatana: None
prakatIBavana: None
prakatIkaraNa: rAw/a__n
prakatiwa: None
prAkatya: None
prakIrNa: None
prakIrNaka: None
prakIrNakeSa: None
prakIrwi: None
prakIrwiwa: None
prAkkalana: rAw/a__n
prAkkAlika: None
prAkkaWana: None
prakopa: rAw/a__n
prakopana: None
prakopiwa: None
prakoRTa: rAw/a__n
prakoRTaka: None
prakqRta: None
prakqRtawA: None
prakqwa: None
prAkqwa: None
prAkqwajvara: None
prAkqwapralaya: None
prAkqwaxoRa: None
prakqwi: SAnwi/__n
prAkqwikacikiwsA: None
prAkqwika: wIn/a__adj
prakqwilaya: None
prakqwimaMdala: None
prakqwipuruRa: None
prakqwisixXa: None
prakqwisWa: None
prakqwivAxa: None
prakRAlana: rAw/a__n
prakRAlayiwA: None
prakRAliwa: None
prakRAlya: None
prakrama: rAw/a__n
prakrAMwa: None
prakRepa: None
prakRepaNa: rAw/a__n
prakRepaNIya: None
prakRipwa: None
prakriyA: pIdZ/A__n
prAktara: None
prAkwana: None
praKyAna: None
praKyApana: None
praKyApiwa: wIn/a__adj
praKyAwa: wIn/a__adj
praKyAwi: None
pralaMbabAhu: None
pralaMba: None
prAlaMba: None
prAlaMbaka: None
prAlaMbikA: None
pralApa: None
pralApaka: None
pralapana: None
pralApI: None
pralapiwa: None
pralaya: rAw/a__n
pralayakAla: None
pralayakArI: ajAwI/__adj
pralayaMkara: None
praleKa: None
praleKana: None
pralhAxa: None
pralIna: None
pralipwa: None
praloBana: rAw/a__n
pramA: None
pramaMdala: rAw/a__n
pramANaBUwa: None
pramANa: rAw/a__n
pramANajFa: None
pramANakoti: None
pramANakuSala: None
pramANana: rAw/a__n
pramANapawra: rAw/a__n
pramANapravINa: None
pramANaSAswra: None
pramANika: None
prAmANika: wIn/a__adj
pramANIkaraNa: None
prAmANikawA: kAl/A__n
pramANIkqwa: None
pramANiwa: wIn/a__adj
prAmANya: None
pramArjaka: None
pramArjana: None
pramarxana: None
pramarxiwa: None
pramarxiwA: None
pramAwA: None
pramaWana: None
pramAWI: None
pramaWiwa: None
pramawwa: None
pramawwawA: None
pramaxa: None
pramaxA: None
pramAxa: None
pramaxakAnana: None
pramaxAkAnana: None
pramaxavana: None
pramaxAvana: None
pramAxavAn: None
pramAxI: None
prAmAxika: None
prameha: None
prameya: None
prAMgaNa: rAw/a__n
pramiwa: None
pramiwi: None
prAMjala: None
pramoxa: rAw/a__n
pramoxana: None
pramoxI: None
pramoxiwa: None
pramqRta: None
PrAMsa: rAw/a__n
pramuKa: rAw/a__n
pramuKasaBA: None
pramuxiwa: None
prAMwa: rAw/a__n
prAMwapawi: None
prAMwIya: wIn/a__adj
prAMwIyawA: None
prANabAXA: None
prANaGAwa: None
prANAGAwa: None
prANaGAwaka: None
prANahAraka: None
prANahArI: None
prANahIna: None
prANAhuwi: None
praNa: None
prANa: rAw/a__n
prANajIvana: None
prANakAMwa: None
praNAlI: ladak/I__n
praNAma: None
praNamana: None
prANamaya: None
prANAMwaka: rAw/a__n
praNamya: None
prANanASaka: None
prANanAWa: None
prANAnwa: None
prANapaNa: None
prANaprawiRTA: None
prANaprayANa: None
praNapyArA: None
praNASa: None
prANasaMyama: None
praNASana: None
praNASI: None
prANavAn: None
prANAvaroXa: None
prANavawwA: None
prANavAyu: None
prANaviyoga: None
praNawa: None
praNawi: None
prANawyAga: None
prANaxaMda: None
prANaxAna: None
prANAXAra: None
prANaxAwA: None
praNayaBaMga: None
praNaya: None
praNAyaka: None
pranAyaka: None
praNayakalaha: None
praNayakopa: None
prANAyAma: None
praNayana: None
praNayavacana: None
praNayavimuKa: None
praNayI: None
praNayinI: None
praNayiwA: None
praNewA: None
praNeya: None
prANIhiMsA: None
prANI: ladak/I__n
praNinAxa: None
prANIvijFAna: None
praNIwa: None
praNIwA: None
praNiXAna: None
praNiXAyI: None
prApaka: None
prapaMcabuxXi: None
prapaMca: None
prapaMcaka: None
prapaMcana: None
prapaMcI: None
prapaMciwa: None
prApaNa: None
prApaNIya: None
prapanna: None
prapannapArijAwa: None
prapAwa: rAw/a__n
prapawana: None
prapawiwa: None
prapawra: None
prApayiwA: None
prapIdaka: None
prapIdana: None
prapiwAmaha: None
prapiwAmahI: None
prapOwra: None
prapOwrI: None
praPulla: wIn/a__adj
praPullanayana: None
praPullanewra: None
praPullavaxana: None
prapUraka: None
prapUriwa: None
prApwa: wIn/a__adj
prApwajIvana: None
prApwakAla: None
prApwaprasavA: None
prApwAvasara: None
prApwAXikAra: None
prApwi: Apawwi/__n
prApya: None
prApyaka: None
prArabXa: None
prAraMBa: rAw/a__n
prAraMBika: wIn/a__adj
prAripsiwa: None
prArUpa: rAw/a__n
prArWanABaMga: None
prArWanA: pIdZ/A__n
prArWanApawra: None
prArWanIya: None
prArWayiwA: None
prArWayiwavya: None
prArWI: None
prArWiwa: None
prArWya: None
praSAKA: kAl/A__n
prasakwa: None
prasakwi: None
prasaMga: rAw/a__n
prAsaMgika: wIn/a__adj
prAsaMgikawA: None
praSaMsA: pIdZ/A__n
praSaMsaka: rAw/a__n
praSaMsAmuKara: None
praSaMsana: None
praSaMsanIya: wIn/a__adj
praSaMsiwa: wIn/a__adj
praSAMwaciwwa: None
praSAMwa: wIn/a__adj
prasanna: rAw/a__n
prasannamuKa: None
prasannawA: kAl/A__n
prasAra: rAw/a__n
prasAraka: None
prasAraNa: rAw/a__n
prasariwa: wIn/a__adj
prasAriwa: wIn/a__adj
praSAsaka: rAw/a__n
praSAsana: rAw/a__n
praSAsanika: rAw/a__n
praSaswa: wIn/a__adj
praSaswi: SAnwi/__n
prasavagqha: None
prasava: None
prasavana: None
prasavasWAna: None
prasavavexanA: None
prasavowwarakAla: None
prasAxa: rAw/a__n
prAsAxa: rAw/a__n
prasAXaka: None
prasAXana: rAw/a__n
prasAXanasAmagrI: None
prasAXanI: None
prasAXiwa: None
praSikRaNa: rAw/a__n
praSikRaNamahAvixyAlaya: None
praSikRANArWI: None
praSikRaNaSivira: None
praSikRaNavixyAlaya: None
praSikRiwa: wIn/a__adj
prasixXa: rAw/a__n
prasixXi: SAnwi/__n
praSliRta: None
praSnacinha: None
praSna: rAw/a__n
praSnapawra: None
prASnika: None
praSnowwara: None
praSnowwarI: None
prasPotana: None
prasPuraNa: None
prasPuriwa: None
prasPutana: None
prasPutiwa: None
prasqwa: None
prasqwi: None
praSraya: rAw/a__n
praSrayaNa: None
prasUna: None
prasUwa: None
prasUwA: None
prasUwiBavana: None
prasUwigqha: None
prasUwi: SAnwi/__n
prasUwijvara: None
prasvIkqwa: None
prasvIkqwi: None
prasWAna: rAw/a__n
prAsWAnika: None
prasWApanA: pIdZ/A__n
prasWApana: None
prasWApiwa: wIn/a__adj
praswara: rAw/a__n
praswAva: rAw/a__n
praswAvanA: kAl/A__n
prAswAvika: None
praswAviwa: wIn/a__adj
prasWiwa: None
prasWiwi: None
praswowA: None
praswuwa: wIn/a__adj
praswuwi: Apawwi/__n
pravAcaka: None
pravacana: rAw/a__n
pravAcana: None
pravacanIya: None
pravAha: rAw/a__n
pravAhiwa: wIn/a__adj
pravajana: None
pravakwA: kAl/A__n
pravAla: None
pravaMcaka: None
pravaMcanA: None
pravaMcana: None
pravaNa: None
pravara: None
pravarajana: None
pravarakalyANa: None
pravarasamiwi: None
pravarawA: None
pravarRa: None
pravarRaNa: None
pravarwaka: None
pravarwanA: None
pravarwana: rAw/a__n
pravarwiwa: wIn/a__adj
pravAsa: rAw/a__n
pravAsana: None
pravAsI: ajAwI/__adj
pravAsiwa: None
prAvaXAna: rAw/a__n
prAvAXAna: None
praveSa: rAw/a__n
praveSaka: None
praveSana: None
praveSapawra: None
praveSaSulka: None
praveSaxvAra: rAw/a__n
praveSikA: None
praveSya: None
praveSyaSulka: None
pravINa: rAw/a__n
pravInawA: None
praviNawA: None
prAviNya: None
praviRta: wIn/a__adj
praviRti: SAnwi/__n
praviXi: SAnwi/__n
prAviXijFa: None
prAviXika: wIn/a__adj
prAvqwa: None
pravqwa: rAw/a__n
pravqwwa: wIn/a__adj
pravqwwi: Apawwi/__n
pravqwwimArga: None
pravqwwimUlaka: None
pravqwwinimiwwa: None
pravrajiwa: None
prawAdanA: None
prawAdiwa: None
prAwaHkAla: rAw/a__n
prAwaHkAlIna: None
prAwaHsmaraNa: None
prAwaHsmaraNIya: None
prAwaHsnAna: None
praWA: pIdZ/A__n
praWama: wIn/a__adj
praWamA: None
praWamakalpa: None
praWamakalpika: None
prAWamakalpika: None
praWamakalpiwa: None
praWamakAraka: None
praWamaprasUwA: None
praWamapuruRa: None
praWamarAwra: None
praWamASrama: None
praWamavaya: None
praWamaxarSana: None
praWamayOvana: None
prAWamikacikiwsA: None
prAWamika: wIn/a__adj
prAWamikaupacAra: None
prAWamikawA: pIdZ/A__n
prAWamikawAsUcI: None
praWamopacAra: None
praWamopacArakeMxra: None
prawApa: rAw/a__n
prawApI: ajAwI/__adj
prawAraka: None
prawAraNA: None
prawAraNa: None
prAwarASa: None
prawAriwa: None
prawarka: None
prawarxana: None
prawi: Apawwi/__n
prAwiBa: None
prawiBA: pIdZ/A__n
prawibala: None
prawibaMXa: rAw/a__n
prawibaMXaka: None
prawibaMXavAn: None
prawibaMXI: None
prawiBAnviwa: None
prawiBASAlI: ajAwI/__adj
prAwiBAsika: None
prawiBata: None
prawiBAvAn: None
prawibAXiwa: None
prawibaxXa: rAw/a__n
prawibaxXawA: kAl/A__n
prawibiMba: None
prawibiMbana: None
prawibiMbiwa: None
prawiboXa: None
prawiboXaka: None
prawiboXana: None
prawiboXiwa: None
prawiBUwi: Apawwi/__n
prawibuxXa: None
prawicAra: None
prawIcya: None
prawiGAwa: None
prawiGAwana: None
prawiGAwI: None
prawigraha: None
prawigrAha: None
prawigrAhaka: None
prawigrahaNa: None
prawigrahI: None
prawigrahIwA: None
prawigrAhya: None
prawihAra: rAw/a__n
prawihArI: None
prawihaswAkRariwa: None
prawihawa: None
prawihiMsA: kAl/A__n
prawijAgaraNa: None
prawijalpa: None
prawijanma: None
prawijEvikI: None
prawijFABaMga: None
prawijFA: kAl/A__n
prawijFAMwara: None
prawijFAna: rAw/a__n
prawijFApAlana: None
prawijFApawra: None
prawijFAwa: None
prawijFeya: None
prawijIvana: None
prawIka: rAw/a__n
prawikara: rAw/a__n
prawikAra: rAw/a__n
prawikAraka: None
prawikarma: None
prawikarwA: None
prawikarwavya: None
prawikqwi: SAnwi/__n
prawIkRA: kAl/A__n
prawIkRAlaya: None
prawikRaNa: None
prawIkRiwa: None
prawikriyA: pIdZ/A__n
prawIkRya: None
prawikUlacArI: None
prawikUla: rAw/a__n
prawikUlA: None
prawikUlAkRara: None
prawikUlavAxa: None
prAwikUlya: None
prawilABa: None
prawilabXi: None
prawilakRaNa: None
prawileKana: None
prawilipi: SAnwi/__n
